/db1/myserver/mariadb/bin/mariadbd, Version: 10.11.6-MariaDB-log (MariaDB Server). started with:
Tcp port: 3306  Unix socket: /db1/myserver/mariadb/mysql.sock
Time		    Id Command	Argument
		   413 Quit	
250805  0:20:01	   414 Connect	harsh@localhost on  using Socket
		   414 Query	/*!40100 SET @@SQL_MODE='' */
		   414 Query	/*!40103 SET TIME_ZONE='+00:00' */
		   414 Query	/*!100100 SET @@MAX_STATEMENT_TIME=0.000000 */
		   414 Query	/*!100100 SET WAIT_TIMEOUT=DEFAULT */
		   414 Query	set optimizer_switch='semijoin=off'
		   414 Query	SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME
		   414 Query	SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME
		   414 Query	set optimizer_switch=default
		   414 Query	SHOW DATABASES
		   414 Init DB	dbmanager_access_db
		   414 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_access_db`
		   414 Query	SHOW FULL TABLES
		   414 Query	LOCK TABLES `table_access_map` READ /*!32311 LOCAL */,`virtual_db_map` READ /*!32311 LOCAL */,`virtual_table_map` READ /*!32311 LOCAL */
		   414 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'table_access_map'
		   414 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   414 Query	SET SESSION character_set_results = 'binary'
		   414 Query	show create table `table_access_map`
		   414 Query	SET SESSION character_set_results = 'utf8mb4'
		   414 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='table_access_map' order by ordinal_position
		   414 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `grantee`, `owner`, `virtual_db_name`, `virtual_table_name`, `access_scope`, `created_at`, `created_by`, `status` FROM `table_access_map`
		   414 Query	SET SESSION character_set_results = 'binary'
		   414 Init DB	dbmanager_access_db
		   414 Query	select @@collation_database
